2004 Federal Election House of Representatives First Preferences By Candidate By Polling Place for VIC [12246 8/11/2005 11:07:54 PM]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,SittingMemberFl,PartyAb,PartyNm,OrdinaryVotes,Swing
VIC,197,Aston,2952,Flamingo,14771,NATHAN,Peter,3,,FFP,Family First,82,3.67
VIC,197,Aston,2952,Flamingo,14255,PEARCE,Chris,4,#,LP,Liberal,1403,5.42
VIC,197,Aston,2952,Flamingo,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,636,-5.66
VIC,197,Aston,2952,Flamingo,15463,BREWER,Nevil,6,,NGST,No GST,12,0.54
VIC,197,Aston,2952,Flamingo,15161,AYLIFFE,Nahum,7,,DEM,Democrats,14,-4.6
VIC,197,Aston,2952,Flamingo,999,Informal,Informal,999,,,Informal,88,1.2
VIC,197,Aston,31743,Heany Park,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,20,0.31
VIC,197,Aston,31743,Heany Park,15032,ABSON,Michael,2,,GRN,Australian Greens,99,-0.14
VIC,197,Aston,31743,Heany Park,14771,NATHAN,Peter,3,,FFP,Family First,118,2.92
VIC,197,Aston,31743,Heany Park,14255,PEARCE,Chris,4,#,LP,Liberal,2425,8.57
VIC,197,Aston,31743,Heany Park,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,1304,-6.23
VIC,197,Aston,31743,Heany Park,15463,BREWER,Nevil,6,,NGST,No GST,19,0.47
VIC,197,Aston,31743,Heany Park,15161,AYLIFFE,Nahum,7,,DEM,Democrats,62,-4.68
VIC,197,Aston,31743,Heany Park,999,Informal,Informal,999,,,Informal,161,0.3
VIC,197,Aston,31744,Karoo,14486,MITCHELL,Doug,1,,CEC,Citizens Electoral Council,10,0.18
VIC,197,Aston,31744,Karoo,15032,ABSON,Michael,2,,GRN,Australian Greens,108,0.88
VIC,197,Aston,31744,Karoo,14771,NATHAN,Peter,3,,FFP,Family First,90,2.89
VIC,197,Aston,31744,Karoo,14255,PEARCE,Chris,4,#,LP,Liberal,2006,13.59
VIC,197,Aston,31744,Karoo,14647,MORGAN,Paul,5,,ALP,Australian Labor Party,842,-11.75
