2004 Federal Election House of Representatives First Preferences By Candidate By Vote Type [12246 8/11/2005 11:07:20 PM]
StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,SittingMemberFl,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
VIC,233,Wannon,999,Informal,Informal,999,,,Informal,2576,103,33,163,69,2944,-0.36
VIC,234,Wills,14996,ARCHER,Toby,1,,GRN,Australian Greens,8384,1234,97,591,357,10663,4.72
VIC,234,Wills,14475,ISHERWOOD,Noelene W,2,,CEC,Citizens Electoral Council,280,52,5,21,15,373,-1.04
VIC,234,Wills,14229,HAMILTON,Blair,3,,LP,Liberal,19117,1619,140,1137,1536,23549,3.23
VIC,234,Wills,15140,STONE,Robert,4,,DEM,Democrats,928,92,6,68,69,1163,-4.81
VIC,234,Wills,14631,THOMSON,Kelvin,5,#,ALP,Australian Labor Party,37537,2102,350,1782,2387,44158,-2.22
VIC,234,Wills,14707,SURACI,Deborah,6,,FFP,Family First,959,161,13,84,58,1275,1.55
VIC,234,Wills,14373,GLANZ,David,7,,SAL,Socialist Alliance,753,60,6,27,21,867,1.06
VIC,234,Wills,999,Informal,Informal,999,,,Informal,4281,257,32,105,97,4772,0.15
WA,235,Brand,14181,VETTOOR,Rajesh,1,,CDP,CDP Christian Party,1287,145,20,92,37,1581,1.26
WA,235,Brand,14146,JENKINS,Jean,2,,GRN,The Greens,2786,429,63,210,90,3578,1.35
WA,235,Brand,14139,KETTLE,Gerard,3,,IND,Independent,844,90,14,100,36,1084,1.46
WA,235,Brand,14419,STOCKDEN,Garth,4,,HAN,Pauline Hanson's One Nation,1578,225,44,109,89,2045,-3.38
WA,235,Brand,14961,PARTRIDGE,John,5,,DEM,Australian Democrats,469,75,8,39,28,619,-1.55
WA,235,Brand,14546,BEAZLEY,Kim,6,#,ALP,Australian Labor Party,28654,2183,645,2173,1237,34892,-4.62
WA,235,Brand,14946,EDMAN,Phil,7,,LP,Liberal,24246,1930,352,2028,1007,29563,15.92
WA,235,Brand,14562,TOTTEN,Rob,8,,CEC,Citizens Electoral Council,603,49,14,44,32,742,0.77
WA,235,Brand,999,Informal,Informal,999,,,Informal,3948,318,78,154,68,4566,1.49
WA,236,Canning,14560,HALLAHAN,Kay,1,,ALP,Australian Labor Party,20468,2088,262,1025,690,24533,-5.41
WA,236,Canning,14575,McCARTHY,Brian,2,,CEC,Citizens Electoral Council,510,71,16,21,24,642,-0.08
WA,236,Canning,14441,DACHEFF,Angelo,3,,HAN,Pauline Hanson's One Nation,1613,233,33,87,69,2035,-4.46
WA,236,Canning,14162,BEILBY,Margo,4,,GRN,The Greens,2939,515,42,153,117,3766,-0.31
WA,236,Canning,15342,CUSTERS,Bev,5,,FFP,Family First,558,110,19,36,33,756,1.01
WA,236,Canning,14693,DODD,Margaret,6,,IND,Independent,647,124,11,55,34,871,1.17
WA,236,Canning,14963,RANDALL,Don,7,#,LP,Liberal,32539,3216,425,1633,1541,39354,10.9
WA,236,Canning,14191,HILL,Vivian,8,,CDP,CDP Christian Party,1490,156,16,76,64,1802,-0.16
WA,236,Canning,14972,BENNELL,Tony,9,,DEM,Australian Democrats,661,113,20,38,32,864,-2.65
WA,236,Canning,999,Informal,Informal,999,,,Informal,3872,436,53,109,45,4515,0.57
WA,237,Cowan,14147,GEORGE,Glen,1,,GRN,The Greens,3276,612,72,193,119,4272,1.53
WA,237,Cowan,14561,ATKINS,Basil,2,,CEC,Citizens Electoral Council,208,48,6,12,8,282,0.37
WA,237,Cowan,14971,GILFILLAN,Sarah,3,,DEM,Australian Democrats,783,130,11,44,34,1002,-2.97
WA,237,Cowan,14187,LEEDER,Richard,4,,CDP,CDP Christian Party,1498,234,14,76,51,1873,0.91
WA,237,Cowan,14439,WINTON,Clem,5,,HAN,Pauline Hanson's One Nation,1227,182,11,61,57,1538,-3.67
WA,237,Cowan,14558,EDWARDS,Graham,6,#,ALP,Australian Labor Party,28722,2319,332,1190,947,33510,-3.88
WA,237,Cowan,14967,SIMPKINS,Luke,7,,LP,Liberal,28690,2514,249,1353,1099,33905,8.27
WA,237,Cowan,999,Informal,Informal,999,,,Informal,3454,384,58,92,44,4032,0.34
WA,238,Curtin,14950,BISHOP,Julie,1,#,LP,Liberal,36290,3237,367,3104,2083,45081,4.43
WA,238,Curtin,14557,KRUSE,Bill,2,,ALP,Australian Labor Party,14534,1458,194,1058,724,17968,0.31
WA,238,Curtin,14960,OLVER,Rob,3,,DEM,Australian Democrats,1316,147,26,131,68,1688,-4.18
WA,238,Curtin,14186,FORDER,Gail,4,,CDP,CDP Christian Party,1023,103,6,67,73,1272,0.67
WA,238,Curtin,14151,LUNDIE-JENKINS,Sonja,5,,GRN,The Greens,6855,907,119,547,261,8689,2.23
WA,238,Curtin,14437,CAINE,Albert Martin,6,,HAN,Pauline Hanson's One Nation,564,87,5,51,37,744,-1.44
WA,238,Curtin,14563,HORNE,Colin,7,,CEC,Citizens Electoral Council,163,27,4,13,9,216,0.29
WA,238,Curtin,999,Informal,Informal,999,,,Informal,2290,252,58,86,74,2760,0.22
WA,239,Forrest,15431,VAGG,Ken,1,,NCO,New Country Party,829,130,37,56,23,1075,1.39
WA,239,Forrest,14195,FLANEGAN,Shane,2,,CDP,CDP Christian Party,988,130,16,69,39,1242,1.6
WA,239,Forrest,14970,WELCH,Adam,3,,DEM,Australian Democrats,1050,107,40,74,40,1311,-1.63
WA,239,Forrest,15339,ROSE,Linda,4,,FFP,Family First,1026,112,50,74,19,1281,1.65
WA,239,Forrest,14442,GIORGI,Alan,5,,HAN,Pauline Hanson's One Nation,2156,229,43,161,78,2667,-6.61
