2004 Federal Election House of Representatives First Preferences By Candidate By Vote Type [12246 8/11/2005 11:07:20 PM]
StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,SittingMemberFl,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
WA,239,Forrest,14564,SMITH,Tresslyn,6,,ALP,Australian Labor Party,17919,1712,293,1169,562,21655,-2.68
WA,239,Forrest,14166,GIBSON,Kingsley,7,,GRN,The Greens,5137,841,110,340,121,6549,1.28
WA,239,Forrest,14959,PROSSER,Geoff,8,#,LP,Liberal,34363,3315,562,2062,1120,41422,7.39
WA,239,Forrest,14567,TUFFNELL,Ian,9,,CEC,Citizens Electoral Council,261,30,6,23,14,334,0.05
WA,239,Forrest,999,Informal,Informal,999,,,Informal,3964,298,82,123,45,4512,0.45
WA,240,Fremantle,14576,POOLE,Damian,1,,CEC,Citizens Electoral Council,654,88,10,31,17,800,1.1
WA,240,Fremantle,14544,LAWRENCE,Carmen,2,#,ALP,Australian Labor Party,27413,2087,415,1438,1041,32394,-2.43
WA,240,Fremantle,14189,SHAVE,Michelle,3,,CDP,CDP Christian Party,1268,124,10,67,55,1524,0.69
WA,240,Fremantle,14479,JAMIESON,Ian,4,,SAL,Socialist Alliance,275,33,8,22,12,350,0.48
WA,240,Fremantle,14989,BEAUMONT,Delys,5,,DEM,Australian Democrats,980,127,12,58,54,1231,-3.66
WA,240,Fremantle,14983,ZAGAMI,Carmelo,6,,LP,Liberal,21716,2049,253,1236,864,26118,5.54
WA,240,Fremantle,14426,MACKINTOSH,Craig Alan,7,,HAN,Pauline Hanson's One Nation,1324,165,13,98,87,1687,-3.63
WA,240,Fremantle,14145,PARIS,Nicola,8,,GRN,The Greens,6978,842,121,422,199,8562,2.72
WA,240,Fremantle,999,Informal,Informal,999,,,Informal,4747,355,69,100,73,5344,1.14
WA,305,Hasluck,14568,HALL,Simon Joseph,1,,CEC,Citizens Electoral Council,713,137,9,40,14,913,0.14
WA,305,Hasluck,14183,RYAN,Terry,2,,CDP,CDP Christian Party,1805,218,17,100,81,2221,0.69
WA,305,Hasluck,14428,NIELD,Paul,3,,HAN,Pauline Hanson's One Nation,1850,287,44,126,106,2413,-3.63
WA,305,Hasluck,14964,HANNAH,Nicola,4,,DEM,Australian Democrats,912,167,6,93,58,1236,-3.18
WA,305,Hasluck,14154,BREMMER,Jane,5,,GRN,The Greens,3875,638,66,221,111,4911,1.19
WA,305,Hasluck,14542,JACKSON,Sharryn,6,,ALP,Australian Labor Party,23143,2177,256,995,824,27395,0.06
WA,305,Hasluck,14952,HENRY,Stuart,7,#,LP,Liberal,27011,2640,240,1293,1273,32457,6.04
WA,305,Hasluck,999,Informal,Informal,999,,,Informal,3219,369,36,83,45,3752,-0.82
WA,241,Kalgoorlie,14168,MUIR,Kado,1,,GRN,The Greens,3078,549,64,328,82,4101,2.55
WA,241,Kalgoorlie,14985,HAASE,Barry,2,#,LP,Liberal,22246,3488,359,2125,1257,29475,2.86
WA,241,Kalgoorlie,14425,SCOTT,Robin,3,,HAN,Pauline Hanson's One Nation,1067,230,24,120,70,1511,-6.27
WA,241,Kalgoorlie,14987,HODDY,Don,4,,DEM,Australian Democrats,344,82,5,46,19,496,-2.75
WA,241,Kalgoorlie,14613,THOMAS,Lorraine,5,,CEC,Citizens Electoral Council,242,35,5,22,14,318,0.33
WA,241,Kalgoorlie,15664,STEPHENS,Tom,6,,ALP,Australian Labor Party,16617,1951,261,1431,431,20691,-3.14
WA,241,Kalgoorlie,15716,COOK,Brendon,7,,IND,Independent,385,66,8,33,14,506,0.78
WA,241,Kalgoorlie,15487,CAMPBELL,Graeme,8,,IND,Independent,5349,521,86,486,212,6654,10.26
WA,241,Kalgoorlie,14188,HENDRY,Craig,9,,CDP,CDP Christian Party,596,124,10,57,40,827,1.28
WA,241,Kalgoorlie,15628,ROWLAND,Nabil Haji,10,,IND,Independent,190,27,5,23,7,252,0.39
WA,241,Kalgoorlie,999,Informal,Informal,999,,,Informal,3114,311,50,137,44,3656,-0.26
WA,242,Moore,14559,YOUNG,Kim,1,,ALP,Australian Labor Party,17886,1648,163,1175,574,21446,-2.22
WA,242,Moore,14443,GAULT,George,2,,HAN,Pauline Hanson's One Nation,1082,154,13,90,49,1388,-2.49
WA,242,Moore,14190,WONG,Evelynne,3,,CDP,CDP Christian Party,1173,145,5,73,49,1445,2.12
WA,242,Moore,14981,WASHER,Mal,4,#,LP,Liberal,31218,2795,270,2121,1335,37739,6.35
WA,242,Moore,14569,HARVEY,Arthur,5,,CEC,Citizens Electoral Council,146,19,3,11,10,189,0.28
WA,242,Moore,14163,KERR,Thor,6,,GRN,The Greens,3777,594,46,293,119,4829,1.66
WA,242,Moore,14984,PAYNE,Kevin,7,,DEM,Australian Democrats,866,153,8,95,38,1160,-3.29
WA,242,Moore,999,Informal,Informal,999,,,Informal,2652,258,31,99,52,3092,0.38
WA,243,O'Connor,14160,PRICE,Adrian,1,,GRN,The Greens,3658,777,114,236,125,4910,2
WA,243,O'Connor,14418,McRAE,Brian,2,,HAN,Pauline Hanson's One Nation,2483,385,60,127,122,3177,-7.42
WA,243,O'Connor,14553,RICHARDS,Ursula,3,,ALP,Australian Labor Party,10857,1653,198,480,371,13559,-1.21
WA,243,O'Connor,14566,PAYNE,Callum Craig,4,,CEC,Citizens Electoral Council,295,47,6,6,13,367,0.05
WA,243,O'Connor,14182,MOSELEY,Justin,5,,CDP,CDP Christian Party,1658,253,22,49,78,2060,0.66
WA,243,O'Connor,15344,HARDINGHAM,Leigh,6,,NP,The Nationals,5635,797,38,187,238,6895,2.09
WA,243,O'Connor,14986,TUCKEY,Wilson,7,#,LP,Liberal,30686,5007,433,1437,1315,38878,3.77
WA,243,O'Connor,15305,HOUGH,Jan,8,,NCO,New Country Party,509,79,7,18,26,639,0.88
WA,243,O'Connor,14969,THACKRAH,David,9,,DEM,Australian Democrats,373,88,7,21,22,511,-1.32
WA,243,O'Connor,14741,GIUDICE,George,10,,IND,Independent,1598,259,35,79,42,2013,2.76
WA,243,O'Connor,999,Informal,Informal,999,,,Informal,3641,432,61,77,34,4245,-0.43
WA,244,Pearce,14180,MERRELLS,Robert,1,,CDP,CDP Christian Party,1752,290,30,92,71,2235,1.76
WA,244,Pearce,14497,TRUMAN,Annolies,2,,SAL,Socialist Alliance,240,26,7,10,3,286,0.38
WA,244,Pearce,14432,GUNNYON,David,3,,HAN,Pauline Hanson's One Nation,2098,409,35,143,118,2803,-4.95
WA,244,Pearce,14974,McLEAN,Donella,4,,DEM,Australian Democrats,861,154,12,74,54,1155,-2.94
WA,244,Pearce,14148,LIEB,Dominique,5,,GRN,The Greens,4610,754,68,276,183,5891,0.63
WA,244,Pearce,14955,MOYLAN,Judi,6,#,LP,Liberal,32464,4089,389,1811,1547,40300,8.89
WA,244,Pearce,14565,McLEAN,Ron,7,,CEC,Citizens Electoral Council,302,56,4,15,19,396,0.1
WA,244,Pearce,15255,RADISICH,Jeanette,8,,NCO,New Country Party,685,143,7,44,32,911,1.21
WA,244,Pearce,14549,RITTER,David,9,,ALP,Australian Labor Party,17188,2055,241,882,680,21046,-2.27
WA,244,Pearce,999,Informal,Informal,999,,,Informal,3542,439,61,112,47,4201,0.32
WA,245,Perth,14521,ULASOWSKI,Nikki,1,,SAL,Socialist Alliance,778,120,21,31,34,984,1.34
WA,245,Perth,14185,LOH,Augustine,2,,CDP,CDP Christian Party,1443,191,23,68,82,1807,2.46
WA,245,Perth,14448,EDMONDS,Marie,3,,HAN,Pauline Hanson's One Nation,1109,196,15,67,76,1463,-2.4
WA,245,Perth,14949,LAWRANCE,Alexander,4,,LP,Liberal,22086,2524,232,1068,1217,27127,4.55
WA,245,Perth,14968,BRADBURY,Ray,5,,DEM,Australian Democrats,1061,138,16,79,50,1344,-5.45
WA,245,Perth,14543,SMITH,Stephen,6,#,ALP,Australian Labor Party,28195,2580,366,1143,1248,33532,-2.29
WA,245,Perth,14616,RUSSELL,Ross Herbert,7,,CEC,Citizens Electoral Council,167,42,8,16,14,247,0.34
WA,245,Perth,14149,XAMON,Alison,8,,GRN,The Greens,5594,821,110,335,185,7045,2.22
WA,245,Perth,999,Informal,Informal,999,,,Informal,4074,381,70,90,65,4680,0.96
WA,246,Stirling,14593,PEARSON,Leone,1,,CEC,Citizens Electoral Council,482,135,20,30,24,691,0.91
WA,246,Stirling,15071,COLETTI,Giuseppe,2,,DEM,Australian Democrats,841,146,13,70,38,1108,-4.47
WA,246,Stirling,14156,BERCOV,Katrina,3,,GRN,The Greens,4167,748,91,284,148,5438,1.17
WA,246,Stirling,14545,McFARLANE,Jann,4,,ALP,Australian Labor Party,24713,2212,325,1231,1135,29616,-2.3
WA,246,Stirling,15623,ANDERSON,Marcus,5,,IND,Independent,475,94,10,48,37,664,0.87
WA,246,Stirling,15066,KEENAN,Michael,6,#,LP,Liberal,29158,2985,298,1948,1549,35938,7.07
WA,246,Stirling,14184,MORAN,Ray,7,,CDP,CDP Christian Party,1223,150,17,47,35,1472,0.61
WA,246,Stirling,14422,PATRICK,Alex K,8,,HAN,Pauline Hanson's One Nation,794,175,19,65,66,1119,-2.48
WA,246,Stirling,999,Informal,Informal,999,,,Informal,4131,406,80,95,73,4785,0.52
WA,247,Swan,14152,FORT,Dave,1,,GRN,The Greens,4434,763,107,296,145,5745,2.41
WA,247,Swan,14620,JOHARI,Azmi,2,,CEC,Citizens Electoral Council,152,27,8,6,5,198,-0.08
WA,247,Swan,14547,WILKIE,Kim,3,#,ALP,Australian Labor Party,22759,2095,399,1239,1183,27675,-1.35
WA,247,Swan,14179,HAMENCE,Gwen,4,,CDP,CDP Christian Party,963,132,12,55,52,1214,0.15
WA,247,Swan,15337,GREAVES,Peter,5,,FFP,Family First,410,95,11,42,24,582,0.84
WA,247,Swan,14434,VERMEER,Ted,6,,HAN,Pauline Hanson's One Nation,929,164,14,57,68,1232,-2.87
WA,247,Swan,14975,REYNOLDS,Mark,7,,DEM,Australian Democrats,880,126,20,55,52,1133,-4.08
WA,247,Swan,14953,MURFIN,Andrew Peter,8,,LP,Liberal,24842,2442,344,1611,1359,30598,5.16
WA,247,Swan,14213,van LIESHOUT,Teresa,9,,IND,Independent,715,122,16,51,43,947,1.37
WA,247,Swan,999,Informal,Informal,999,,,Informal,3401,348,73,105,79,4006,0.59
WA,248,Tangney,14423,BOON,Lloyd,1,,HAN,Pauline Hanson's One Nation,1448,207,20,89,64,1828,-0.94
WA,248,Tangney,14978,INGRAM,Andrew,2,,DEM,Australian Democrats,1122,156,13,94,55,1440,-3.38
WA,248,Tangney,14603,VINCENT,Neil A,3,,CEC,Citizens Electoral Council,153,27,1,19,4,204,0.27
WA,248,Tangney,14302,WU,Wilson,4,,IND,Independent,1509,131,10,150,70,1870,2.51
WA,248,Tangney,14951,JENSEN,Dennis,5,#,LP,Liberal,33340,2778,280,2094,1569,40061,3.91
WA,248,Tangney,14548,WAUGH,Gavin,6,,ALP,Australian Labor Party,17835,1556,160,1116,621,21288,-3.29
WA,248,Tangney,14159,DUCKETT,Andrew,7,,GRN,The Greens,4683,625,57,308,141,5814,2.77
WA,248,Tangney,14178,TAPLEY,Colleen,8,,CDP,CDP Christian Party,1687,192,11,113,72,2075,1.24
WA,248,Tangney,999,Informal,Informal,999,,,Informal,2962,320,46,88,52,3468,0.4
