UniqueIdentifier,ALP_Wills,LP_Wills,GRN_Wills,ALP_NAT,ALP_NSW,ALP_QLD,ALP_SA,ALP_TAS,ALP_VIC,ALP_WA,GRN_NAT,GRN_NSW,GRN_QLD,GRN_SA,GRN_TAS,GRN_VIC,GRN_WA,LNP_NSW,LNP_QLD,LNP_SA,LNP_TAS,LNP_VIC,LNP_WA,LNP_NAT
ALP_Wills,1.0,0.7363221490745238,-0.9507866579324493,0.8510317486282537,0.7044604723639785,0.8112163478895651,0.8955590413675345,0.7680290663718153,0.9046734184683556,0.22927980491184533,-0.6002394118263428,-0.3931447927392337,-0.592548845522653,-0.2709265051449491,0.3987310157768344,-0.8122952462297547,-0.6052618439232735,0.2974944794698922,-0.15311342412460852,0.7401893557637138,0.49446288090654344,0.48116331537657986,0.42791950852641686,0.19943114852271124
LP_Wills,0.7363221490745238,1.0,-0.8573383735834239,0.6595030864721027,0.5234141405708482,0.7062162961709758,0.453279597886531,0.8811472464929694,0.6673995034696775,0.1419960622756879,-0.762297453185276,-0.4916538779050524,-0.8097062449991035,-0.6531804331656763,0.06447899719852843,-0.8104293517570159,-0.7291059744939701,0.5771220295885887,0.013265595852457613,0.7540297480852973,0.7787275684641877,0.8694994382615329,0.6586308467833201,0.5195014478183275
GRN_Wills,-0.9507866579324493,-0.8573383735834239,1.0,-0.7806621322942056,-0.6199067787956961,-0.7905042528641081,-0.7604296880419397,-0.7507609005917751,-0.7849163904733786,-0.29811760741356635,0.7341588529872503,0.49830144528000136,0.7250177523444528,0.40912873352275825,-0.2100715640418832,0.9062619205548339,0.7710169224374811,-0.35551452545631956,-0.014724746899251236,-0.8377160366183409,-0.6921849803696479,-0.6122830905606348,-0.4163308983875322,-0.37587621444334984
ALP_NAT,0.8510317486282537,0.6595030864721027,-0.7806621322942056,1.0,0.9577921928282256,0.9805826980141293,0.8424388947217931,0.7798360368145835,0.9319253159714674,0.4595175707296726,-0.5083876225257973,-0.31427371852597286,-0.5282945353794091,-0.36594913171331317,0.5265974043716473,-0.6632278010672307,-0.44984105475152364,0.02316061615630084,-0.14579559489662328,0.3767490633699584,0.30496046161551926,0.37529792184675975,0.36473950933050475,0.07025295041653744
ALP_NSW,0.7044604723639785,0.5234141405708482,-0.6199067787956961,0.9577921928282256,1.0,0.9560306727208774,0.7354979520870423,0.6659428859058322,0.8300434574648455,0.4362995213123267,-0.49752045901202063,-0.3855646641300815,-0.5229094073522418,-0.43405541776628115,0.4247198315331643,-0.5768277870005873,-0.3981819320430128,-0.058855648009182894,-0.019786590307760605,0.22467497581076634,0.24804442134781524,0.31661230314474514,0.3447684363199133,0.11059170536742267
ALP_QLD,0.8112163478895651,0.7062162961709758,-0.7905042528641081,0.9805826980141293,0.9560306727208774,1.0,0.7820934973031741,0.7509316845506476,0.8593655881444164,0.48863780065680207,-0.5945983194508656,-0.4084936202995633,-0.6251645669435323,-0.45545489180653764,0.4130445727136269,-0.7052522438793657,-0.5394625845295823,0.04878737635545148,-0.03356549442896481,0.4043541729745089,0.4164815454644875,0.43511017535095436,0.3775434110762999,0.17742190947496292
ALP_SA,0.8955590413675345,0.453279597886531,-0.7604296880419397,0.8424388947217931,0.7354979520870423,0.7820934973031741,1.0,0.5893544860930542,0.8768774373519606,0.25966842115157707,-0.2754368024666091,-0.12122550227827052,-0.29494444662650543,0.06918588477489285,0.6655559477703256,-0.5191310780821773,-0.2750121493082987,0.062132113196336713,-0.3909183254086989,0.433793205476806,0.1440717455698667,0.1147346894000979,0.26296740327770574,-0.16999567347350752
ALP_TAS,0.7680290663718153,0.8811472464929694,-0.7507609005917751,0.7798360368145835,0.6659428859058322,0.7509316845506476,0.5893544860930542,1.0,0.8699899876401397,0.04087474925158449,-0.5433527197719279,-0.2804756344524568,-0.6084743920591601,-0.5173620751107204,0.3791311386610316,-0.6336315319099044,-0.4366574556900874,0.5193332922808834,-0.2902204511074337,0.5477190148368914,0.46340445101636474,0.7451185429250576,0.743754484624576,0.24637886705328715
ALP_VIC,0.9046734184683556,0.6673995034696775,-0.7849163904733786,0.9319253159714674,0.8300434574648455,0.8593655881444164,0.8768774373519606,0.8699899876401397,1.0,0.22864907470620927,-0.40841673412077406,-0.18917340092170495,-0.4337925296806608,-0.24818152952787112,0.6233074357208821,-0.6075590252099279,-0.33898775069775083,0.2032168514910648,-0.3642573302068496,0.45215467454624914,0.2342471274385981,0.41048631526646273,0.4892244287591837,-0.011840694175218823
ALP_WA,0.22927980491184533,0.1419960622756879,-0.29811760741356635,0.4595175707296726,0.4362995213123267,0.48863780065680207,0.25966842115157707,0.04087474925158449,0.22864907470620927,1.0,-0.09643633931333946,0.06037900788137134,-0.010076173322032771,-0.043859660289210775,0.2794724126459584,-0.26160157946946333,-0.2278124153670111,-0.7165219918981361,0.198164945092633,-0.12171851339267802,-0.021312020016016658,-0.2130838780123986,-0.5632490487755902,-0.1728736360358323
GRN_NAT,-0.6002394118263428,-0.762297453185276,0.7341588529872503,-0.5083876225257973,-0.49752045901202063,-0.5945983194508656,-0.2754368024666091,-0.5433527197719279,-0.40841673412077406,-0.09643633931333946,1.0,0.9308174562465228,0.9792402977620692,0.8614773829638358,0.4266918797010076,0.9331818946770531,0.9652257489721654,-0.47435022544680694,-0.5859096968091382,-0.8098216748376142,-0.9394991143704438,-0.8317138647862745,-0.5162340282452231,-0.8842999417935566
